GNSS Locations for ALL the Earthquakes
st_name	lat	lon	elv	samp_rate	gain	unit
0405	34.3787	133.0098	0.0	1.00	1.000000e+04	counts/cm
0407	34.4399	131.4165	0.0	1.00	1.000000e+04	counts/cm
0408	34.2946	130.9431	0.0	1.00	1.000000e+04	counts/cm
0409	34.2837	131.5628	0.0	1.00	1.000000e+04	counts/cm
0410	34.2591	131.9533	0.0	1.00	1.000000e+04	counts/cm
0411	34.1895	131.3461	0.0	1.00	1.000000e+04	counts/cm
0412	34.0572	131.5308	0.0	1.00	1.000000e+04	counts/cm
0413	33.9777	131.2860	0.0	1.00	1.000000e+04	counts/cm
0414	33.9751	132.1044	0.0	1.00	1.000000e+04	counts/cm
0415	34.0970	134.3520	0.0	1.00	1.000000e+04	counts/cm
0416	34.0599	134.5601	0.0	1.00	1.000000e+04	counts/cm
